,title,location,description
808,"
Brand Analyst - Millennial Impulse
","


Macy's

","Description
 
Overview:
 
The Private Brand Analyst partners with the Product and Merchandising Teams in providing leadership to the division by driving and managing the private brand business to deliver sales and margin results.  Assists the Brand Director/Brand Manager in assuring adequate on order and inventory levels by division in each product category and private brand. 
 
Essential Functions:
 
Analysis:
Monitor merchandise performance overall (programs, key items, sales, margins) by division.
Assume ownership of the private brands seasonal sales and receipt plans analysis.
Perform review and analysis of division performance on a brand and item basis by door.
Identify, communicate and drive sales and margin of key programs and items.
Assist Brand Director/Brand Manager in follow-up on recommendations to division and assure compliance.
Assist Brand Director/Brand Manager in providing strategic direction to private brands placement plans to   address penetration deficiencies. 
Review buy meeting results and work with Product and Merchandising teams to recommend call-outs.
Lead in planning, monitoring, projecting and analysis of Private Brand sales and margin on weekly/monthly/seasonal basis. Work with Brand Manager, PD and PM in controlling Private Brand margins against MMG targets.
Prepare and analyze weekly selling reports.
Planning:
Assist in projecting and recommending purchase quantities on key programs.
Work with Brand Manager and Product Director and Product Manager to establish retail price range, promotional cadence and exit strategies.
Assist in the development of our long-term growth strategies within private brands as it relates to sales and penetration growth and potential margin improvements.
Procurement:
Implement the roll out and maintenance of new basic replenishment items.
Validate and monitor EDI projections and adjust accordingly to maximize sales.
Oversee monthly EDI process and interact with suppliers and division to assure sales maximization.
Secure from product team style availability to offset deficiencies. 
Communicate inventory analysis to division and secure additional placements where appropriate.
Identify merchandising opportunities such as overages and shortages.  Develop and implement action plans.
Regular, dependable attendance and punctuality
Qualifications:
 
Education/Experience:
Bachelor’s Degree in related field
Excellent Excel Skills
Macy’s systems experience a plus.
Brand Specialist, Assistant Buyer or Assistant Planner experience a plus
Language Skills:
Excellent written and communication skills
Other skills:
Outstanding analytical skills.
Excellent organizational skills.
Attention to detail
Macy's is an Equal Opportunity Employer, committed to a diverse and inclusive work environment."
809,"
Equity Research, Entry level
","


SNI Financial  

","Employee Type: Full-Time 
Job Type: Finance, Research

Job Description 
SNI Financial is working with a Boutique Investment Bank to help them grow their Equity Research platform in Exploration & Production. This incredible entry level sell-side opportunity will have the right Candidate working and mentored by an established Senior Analyst who has covered the E&P Sector for over 15 years. You will conduct fundamental research and analysis of individual companies that will involve analyzing Financial Statements, writing, Financial Modeling and conducting channel-checks, which will support the research franchise. Our ideal Candidate will be a proactive self-starter and possess the ability to thrive in a fast-paced, demanding environment.  Passion for Stocks/Equity research and integrity are a must to succeed in this role.

Responsibilities:
Construct and maintain Financial Models, including earnings, valuations and industry models for the firms sales force and institutional clients, utilize Market Equity Research to generate detailed reports/notes on relevant investment themes and events, develop and maintain relationships with Investor Relations Personnel & Management of companies under coverage, assist, as well as generate investment ideas through industry contacts, keep abreast of company filings and industry-related news flow.

Qualifications/Skills:
BS and/or MBA preferred, excellent Quantitative and Analytical skills, proven ability to analyze complex investment concepts, develop investment theories and communicate ideas effectively, proven writing skills, possess an attention to detail, as well as the ability to multi-task and manage time effectively and be a team player.  A strong Microsoft Suite skillset (Excel, Word & PowerPoint) are essential.
Compensation for this entry level go-getter position is $55k-$70k, plus bonus!  If interested, please send resume."
810,"
Equity research associate - biotechnology / bio pharma
","


Wedbush Securities

","Job Description

Wedbush Securities is a full-service investment bank and brokerage firm. We are seeking an Equity Research Associate to support a sell-side Equity Research Analyst covering the Biotechnology / Bio Pharma sector. We are seeking an individual who has demonstrated a solid work ethic, superb quantitative and analytical skills, and exceptionally strong verbal and written communication skills.  Academic achievement, a passion for the securities industry, and a strong work history are essential qualities.  The ideal candidate will be results oriented, self-directed and able to complete complex tasks under significant time constraints.

Job responsibilities include, but are not limited to, the following:

    conduct regular financial and market due diligence on covered companies
    build, update and maintain financial models
    assist with timely preparation of research reports
    interact with corporate management and our internal sales force

Experience and Skills

    Bachelors Degree in a Life Sciences discipline required
    M.Sc. or Ph.D. preferred
    Advanced Excel skills preferred
    Ability to obtain FINRA Series 7, 63, 86, 87 licenses
    Extremely strong written communication skills
    Experience in a support role in business development, venture capital investment analysis and corporate communications strongly preferred

Please include with your submission a copy of your resume and a writing sample in either Word or PDF format."
811,"
DIRECTOR OF SALES, CHILDRENSWEAR
","


Ralph Lauren

","Ralph Lauren Corporation (NYSE: RL) is a leader in the design, marketing and distribution of premium lifestyle products in four categories: apparel, home, accessories and fragrances. For more than 44 years, Ralph Lauren's reputation and distinctive image have been consistently developed across an expanding number of products, brands and international markets.
Objective:	 	Manage Childrenswear account responsibility to mutually acceptable and profitable business metrics by meeting divisional shipping goals, 
 	 	maximizing account retail performance and customer internal profitability, and maintaining expected order fill rate.
 	 	At the same time create a mutually collaborative and productive business relationship with account peers and management.
 	 	•	Identify the Sales & Profit Opportunities by Account. Maximize PRL Brand Strength, Presentation and Potential	 
 	 	•	Construct financial business plans consistent with opportunities and agreeable by account and PRL management .	 
 	 	•	Work with Account Planner to build financial and assortment plans according to the Merchandising Master Assortment Plans and financials needs of the Account.
 	 	•	Manage account retail performance to hit mutual business metrics: Sales Plan, GMD rate, turn and GB %.	 
 	 	•	Manage Basic Stock Replenishment models by door.  Maintain BSR goals which includes BSR penetration, BSR Fulfillment, BSR sales performance,
 	 	 	and adherence to new program initiatives and opportunities.	 	 	 	 
 	 	•	Work with Customer Service to be sure order fulfillment is at divisional targets, and confirmations are received within target dates
 	 	•	Maintain Operational Calendar, BSG file, account business plans and all required sales reporting for retail account base.	 
 	 	 	 	 	 	 	 	 	 	 	 	 	 
Responsibilities:	•	Maximize Sales and Profit Opportunities by Account	 	 	 	 
 	 	•	Identify growth, profit and brand development across multiple business metrics, across each size zone	 
 	 	•	Analyze the following aspects of the business:	 	 	 	 	 	 
 	 	 	 	Market Share Data	 	 	 	 	 	 	 
 	 	 	 	Competitive Analysis	 	 	 	 	 	 	 
 	 	 	 	Profitability by Door	 	 	 	 	 	 	 
 	 	 	 	State of the Stocks	 	 	 	 	 	 	 
 	 	 	 	 	Brand presentation 	 	 	Competition Performance	 	 	 
 	 	 	 	 	Floor placement & Adjacency	 	Product Content, Assortment, Productivity	 	 
 	 	 	 	 	Promotional Activity	 	 	BSR Performance, model and logistics	 	 
 	•	Achieve Sales Plan	 	 	 	 	 	 	 	 
 	•	Construct Financial and Assortment Plans Consistent with Opportunities	 	 	 
 	 	•	Build a financial plan that meets mutually agreed upon business profitability metrics by account.	 	 
 	 	•	Work with account planners and merchandise planners to develop product and receipt flows consistent with merchandise strategy.
 	•	Sell in Assortments Consistent with Merchandising MAPS and Financial Needs of Account	 	 
 	 	•	Work with Account Planner to create a unified financial plan and product assortment.	 	 
 	•	Manage Purchase Orders to Ensure Timely and Complete Shipping	 	 	 
 	•	Develop Strategic Action Plans Based On:	 	 	 	 	 	 
 	 	•	Inventory and BOM levels to plan and trend	 	 	 	 	 	 
 	 	•	Sales and Stock by Door	 	 	 	 	 	 	 
 	 	•	Selling Reports	 	 	 	 	 	 	 	 
 	 	•	Classification Sales vs. Receipts	 	 	 	 	 	 	 
 	 	•	In-store Presentation	 	 	 	 	 	 	 	 
 	 	•	ATS Opportunities	 	 	 	 	 	 	 	 
 	 	•	Execution of Markdowns	 	 	 	 	 	 	 
 	 	•	Vendor Margin	 	 	 	 	 	 	 	 
 	•	Manage Retail Performance to Hit Mutual Business Metrics: Sales Plan, MD rate, Turn and GB %.	 
 	 	•	Monitor Item Selling	 	 	 	 	 	 	 	 
 	 	•	Note In-Store Presentation Changes	 	 	 	 	 	 
 	 	•	Ananlyze Sales and Stock by Door	 	 	 	 	 	 	 
 	 	•	Ananlyze EOM Data Reporting	 	 	 	 	 	 	 
 	 	•	Monitor BSR 	 	 	 	 	 	 	 	 
 	 	•	Monitor Shipping	 	 	 	 	 	 	 	 
 	•	Facilitate Retail Performance	 	 	 	 	 	 	 
 	 	•	Manage Merchandise Coordinators	 	 	 	 	 	 	 
 	 	•	Conduct Store Visits	 	 	 	 	 	 	 	 
 	 	 	 	Understand mall competition	 	 	 	 	 	 	 
 	 	 	 	Meet store management	 	 	 	 	 	 	 
 	 	 	 	Negotiate floor space	 	 	 	 	 	 	 
 	 	 	 	Consider doors to open	 	 	 	 	 	 	 
 	 	•	Shop Development	 	 	 	 	 	 	 	 
 	 	 	 	Negotiate capital expenditures	 	 	 	 	 	 	 
 	 	 	 	Consider shop proposals and visual enhancements	 	 	 	 
 	•	Maintain Reporting for Internal and External Purposes/Meetings	 	 	 
 	 	•	Sales Reporting	 	 	 	 	 	 	 	 
 	 	 	 	BSG File	 	 	 	 	 	 	 	 
 	 	 	 	Business Plans	 	 	 	 	 	 	 	 
 	 	 	 	Weekly Sales and Stock	 	 	 	 	 	 	 
 	 	 	 	Vendor Margin Analysis	 	 	 	 	 	 	 
 	 	 	 	Margin Settlement Files	 	 	 	 	 	 	 
 	 	 	 	PJVA	 	 	 	 	 	 	 	 
 	 	 	 	Operational Calendar	 	 	 	 	 	 	 
 	 	 	 	Comparative Door Analysis	 	 	 	 	 	 	 
 	 	•	Management and Market Meetings	 	 	 	 	 	 	 
 	 	 	 	State of the Stocks	 	 	 	 	 	 	 
 	 	 	 	Dashboards	 	 	 	 	 	 	 	 
 	 	 	 	Management Visit Templates	 	 	 	 	 	 	 
 	 	 	 	Management Meeting Deck	 	 	 	 	 	 	 
 	 	•	Sales Analysis and Operational Reporting	 	 	 	 	 	 
 	 	 	 	Market Booking Goal File	 	 	 	 	 	 	 
 	 	 	 	Vendor Allownaces	 	 	 	 	 	 	 
·      

Qualifications	


 
 	•	 	Strong analytical and mathematical skills.	 	 	 	 	 
 	 	 	• Ability to formulate solid plans and generate fresh ideas, digesting and organizing data from multiple sources .
 	•	 	Strong interpersonal and communication skills.	 	 	 	 	 
 	 	 	• Comfortable expressing opinions in group settings.	 	 	 	 
 	•	 	Strong leadership skills.	 	 	 	 	 	 
 	 	 	• Takes initiative and seizes opportunities to observations and recommendations.	 	 
 	•	 	Excellent computer skills.	 	 	 	 	 	 
 	 	 	• Solid Powerpoint and Excel skills in order to create clear, compelling documents/reports.	 
 	•	 	Self motivated and organized.	 	 	 	 	 	 
 	•	 	Strong product knowledge in premium / luxury segment of apparel industry.	 	 
 	•	 	Experience in a matrixed, multi-stakeholder, decision-making structure.	 	 
 	•	 	Appreciation of the heritage and sensibility of th Ralph Lauren brand.	 	 
Ralph Lauren is an equal opportunity employer. We offer dynamic career opportunities with growth potential and a generous company discount."
812,"
Senior Financial Planning Advisor
","


William Blair & Company  

","Organization Overview	
William Blair & Company is a global investment banking and asset management firm. We are committed to building enduring relationships with our clients and providing expertise and solutions to meet their evolving needs. An independent and employee owned firm, William Blair is based in Chicago, and has office locations in 12 cities, including London, New York, Shanghai, and Zurich. 

City: Chicago
State: Illinois [IL]
Country: United States [US]
Job Title: Senior Financial Planning Advisor
Department: Investment Management

Description	  
Responsibilities
-Provide personal financial analysis, counseling, and advisory services for ultra-high net worth (+$7 million) private and institutional clients in the following areas: cash flow planning, investment planning/asset allocation, income tax planning, risk protection/insurance, retirement planning and estate planning.
-Assist in firm-wide new business development.
-Provide regular financial plan maintenance which includes client reviews.
-Provide research, analysis, and education to the firm’s investment professionals and clients relating to financial and tax planning/portfolio management issues through public speaking engagements, publications, etc.
-Respond to inquiries from professionals firm-wide regarding financial planning issues.
-Participate in other projects as requested by management
 
Qualifications 
-Minimum of 10 years’ experience as a financial planner or investment related experience.
-MBA, JD, CFA, CPA or CFP preferred.
-Series 7, 63 required.
-Must be able to develop financial plans both independently and in coordination with other advisors
-Outstanding analytical, organizational, verbal, and written communication skills between investment advisors and other outside.
-Service oriented and capable of independent thought.
-Ability to manage expectations and solve problems.
-Team orientation and possess a strong commitment to excellence.

Job Type: Full Time

Additional Info	
As a William Blair & Company associate, you’ll enjoy Medical, Dental, Life and AD&D Insurance, along with a generous profit sharing program that includes a 401K plan in addition to a firm contribution. We also offer three weeks of vacation, flexible spending accounts, a business casual dress code, discounted commissions on trades, and discounts at restaurants, museums, parks and retailers. 
 
William Blair & Company, L.L.C. is an equal opportunity employer. It complies with all laws and regulations that prohibit discrimination in employment practice because of race, color, religion, creed, ancestry, marital status, gender, age, national origin, sexual orientation, unfavorable discharge from the military service or on the basis of a physical or mental disability that is unrelated to the employee's ability to perform the duties of the job applied for."
813,"
	Associate Global Merchandise Manager, Womens Tees
","


Armani Exchange

","A|X Armani Exchange is expanding their Global Merchandising team! 
 
Associate Global Merchandise Manager, Womens Tees

Reports to: Reports to Senior Merchandise Manager of Knits and Sweaters
Key relationships: Planning, Product Development, and Visual


Responsibilities
·         Manage one category/class and development of seasonal strategies to meet or exceed business unit’s financial targets
·         Communicate with, collaborate with and influence cross-functional partners to achieve results
·         Develop Line Plans and partner with Design team to create consumer-right assortments
·         Determine category/class key concepts, key items and promotional strategies; rank product styles
·         Understand product trends, competitive landscape, historical data and consumer insights to create consumer-right assortments
·         Participate in seasonal process including Hindsighting, Line Plan Creation, Product Reviews, Buy Reviews, Market Week
·         Partner with Planning teams to determine seasonal buy quantities that align with product strategy
·         Lead execution of category/class strategy within the store environment through partnership with Visual Merchandising team
·         Partner with channel and regional Buying teams to gather and incorporate consumer insights from global marketplace
·         Participate in seasonal fittings to finalize appropriate garment fits
·         Determine pricing architecture for category/class based on financial targets and competitive landscape
·         Reports to Senior Global Merchandiser or Global Merchandiser


Minimum qualifications
·         Bachelors Degree of equivalent.
·         1-3 years of retail buying experience.
·         Strong analytical skills.
·         Possess a working knowledge of financial measurements.
·         Demonstrate a point of view about product assortment and business opportunities.
·         Maintain a cooperative team environment that promotes high performance standards and attainment of goals.
·         Strong listening, verbal, written and presentation skills.


We offer an exciting work environment with generous benefits and product discounts."
814,"
Quantitative Financial Analyst
","


Citi  

","Job Location: Tampa, FL 

Reference Code: 13052244
Location: Tampa, FL, USA
Education Level: Doctorate Degree

Description
 Validation of mathematical models used for financial pricing and risk management purposes. Validation work includes aspects from: reviewing modelling assumptions, verifying mathematical formulation, implementation of similar or alternative models, identification of modelling limitations with suggested mitigants, assessment of inherent model risk, documentation of model validation reports. Work involves interacting with quantitative research, risk managers, product control and audit functions. Validation work is performed using a 2 stage approach: (i) Level 1 - involving a preliminary assessment of the model based on business documentation/testing, (ii) Level 2 validation involving a deeper dive into the model usually with an independent implementation of a similar or benchmark model. The key focus of both types is the identification of potential model risk and controls. 

Qualifications
 PhD in a quantitative field or MS in Mathematical Finance with a strong quantitative background. In depth knowledge of the relevant pricing methodologies. Strong computer skills. Strong communication skills. Previous experiences in developing or validation of financial models would be a plus but not mandated.The individual should have a sound understanding of stochastic calculus and the ability to transform technical research into working models. The implementation work will require a strong knowledge of programming, in C++, Python, Mathematica, and / or some other appropriate language. Candidates will have to demonstrate a sound knowledge of Probability Theory, Stochastic Calculus, Partial Differential Equations and Numerical Methods. Business knowledge would be beneficial but is not a pre-requisite. Curiosity, desire to learn, and a healthy skepticism about received wisdom are all desirable. 


Job ID: 13052244"
815,"
Men's Fashion Director
","


ShopBop

","Job Description

Shopbop is launching a men’s site, and we’re seeking an experienced leader in the men’s market to drive fashion messaging and influence business development and product point of view in order to engage the men’s customer in this new initiative. 

Responsibilities
• Establish the presence of Shopbop’s men’s site within the men’s market. This includes acquiring distribution in a broad range of designers appropriate to the brand and developing Shopbop’s position in the men’s market.
• Create a strategy for courting and servicing the menswear consumer.
• Strategize merchandising and brand development with the men’s buying team to ensure that that the appropriate designers and programs are created and executed.
• Strategize the growth of the men’s site from launch and as it continues to develop, balancing revenue and fashion authority goals throughout the process.
• Create and develop a point of difference and build programming and content to support that.
• Drive content execution of all marketing initiatives across channels, including video content for appropriate channels that is well aligned with retail and marketing needs.
• Drive and disseminate information cross functionally for the execution of front window messaging, social platform content, and editorial throughout the site experience.
• Continually innovate on-site fashion messages and develop meaningful programming designed to engage the customer, e.g. boutiques and shop-in-shops.
• Oversee, implement, and deliver weekly and seasonal editorial calendar, ensuring issue content is on-brand, balanced, and in keeping with editorial and commercial direction.
• Ensure up-to-the-minute knowledge of the online retail and content marketplace.
• Attend the men’s collections and garner relationships both with designers and press during those weeks.

Basic Qualifications

• Significant experience gained at editor level or above from a respected fashion organization (online or print).
• Track record of delivering results, both creatively and commercially.
• Excellent fashion sense and deep understanding of the men’s fashion market segment and its history.
• Understanding of the global consumer.
• Proven experience with originality, creativity, and overall high-quality editorial content.
• Keen sense of brand.
• Detail-oriented, ability to prioritize, extremely organized.
• Experience in building processes and launching new initiatives.
• Effective communication skills.





Preferred Qualifications

About Shopbop

Shopbop is the premier online shopping destination for what’s new and what’s next in fashion and style, offering women around the world the best selection from both established and emerging designers. Working with more than 500 international brands, Shopbop offers women in 165 countries a selective and nuanced fashion-forward assortment of ready-to-wear and accessories with fast, free global shipping. Shopbop is part of the Amazon.com Inc. group of companies.

Shopbop is an equal opportunity employer."
816,"
Internet Store Coordinator
","


Lands' End

","Lands’ End is a premier source of apparel and gear for women, men, kids and the home – sold by catalog, online, and at over 300 Lands’ End Shops at Sears. Since 1963, we’ve earned a reputation for quality, value and exceptional customer service embodied by one simple promise: everything we sell is Guaranteed. Period.® Lands’ End is a proud member of the Sears Holdings Corporation (NASDAQ: SHLD) family of companies.

The primary focus of the role is to drive to sales/EBITDA goals by facilitating a compelling customer experience through execution of internet merchandising and marketing strategies. Specifically responsible for ensuring the smooth execution of Lands’ End merchandising and marketing strategies from the moment a customer visits Landsend.com and throughout his/her entire shopping experience.  The internet content store coordinators will collaborate with the internet merchandising managers and customer experience directors to analyze and recommend merchandising strategies to maximize sales/profit and support world class customer experience.
 
To be successful, the store coordinator will develop effective business relationships with cross-functional teams, be able to work in a fast-paced dynamic environment, and have strong attention to detail.
 
The internet store coordinator will leverage content management systems to set up styles, publish them to the web and support all online merchandising assortments and population of merchandising tools.  The internet store coordinator will also be responsible for e-mail content tagging to be used to analyze e-mail performance.
Responsibilities/Skills/Experience Requirements	Knowledge/Skills/Abilities: 
•	Experience in online navigation, web merchandising and business analysis 
•	The ability to think creatively 
•	Strong interpersonal skills; ability to work effectively in a cross-functional team 
•	Proficiency in using content management software for sophisticated merchandising placements 
•	Highly proficient in Microsoft Office (Excel, Work & Power Point), as well as understanding of database functionality (Access, Filemaker, etc.) 
•	Demonstrated ability to work as a team player 
•	Excellent communication skills, both verbal and written 
•	Strong organizational and time management skills 
•	High attention to detail 
•	Web industry experience in a retail environment preferred experience with Omniture (or Coremetrics) as a merchandising and marketing analytics tool, Endeca and Certona is a plus 

Key Responsibilities: 
•	Style Maintenance (Product Attributes) assignment, coordination and updates as needed to support product categorization 
•	Product/category/site-wide promotion support 
•	Email & site content QA (i.e. typos, links) 
•	Use of Endeca to boost and bury products and Certona for cross-sell functionality of web merchandising 
•	Assigned product categories for Landsend.com, Landsend.com/Overstocks and LandsendCanvas.com 
•	Internal search dictionary and analysis across all brands 
•	eCatalog publishing and QA to core website 
•	Product/category/site wide promotion support 
•	In conjunction with Website Manager, a primary contact with assigned eMerchant to ensure that merchandising strategies are “brought to life” on landsend.com in a timely and accurate fashion 
•	Weekly reporting of merchandise assortment and tab-page performance"
817,"
Credit Analyst ll or lll  
","


First Horizon  

","This position is within our Regional Corporate Banking group. 

JOB PURPOSE:
Responsible for evaluating and approving or rejecting loan applications based on established criteria. Handles medium-sized and larger accounts. Includes complex accounts.

DUTIES & RESPONSIBILITIES:
Receive credit requests and make approve/decline decisions within established policy, guidelines, and turnaround times. Underwrite real estate related credit requests. Document decisions properly and completely with particular diligence given to explanations of overrides or variances, to include a narrative to explain credit decisions. 
Provide a high level of customer service to the originators of loan requests to include the communication of credit decisions and answering questions. 
Works with the loan administration and client specialists to manage delinquencies on loans; reports troublesome loans to the senior credit officer and commercial line manager on a timely basis. Ensures that the systems of record are accurate for the loans being administered; ensures that management information is reported timely and accurately; obtains satisfactory loan reviews and ensures that regular audits are performed.
Additional responsibilities as directed by Leadership.

Requirements
Bachelors required (or equivalent experience); Masters preferred 
Two to four years of directly related experience required; Six to ten years experience preferred.

Knowledge/Skills/Abilities/Training/Systems:
Accurate typing, spelling and grammar skills. Proficient with applicable computer software. Good written and oral communication skills. Good organizational and customer service skills. Good fundamental understanding of general bank operations, proficient understanding of the components of financial planning, deposit products, small business products, investment and insurance products."
818,"
Trader (Equity)
","


Citi

","Duties: Plan and strategize to reduce risk, increase return, and preserve Citi’s capital within the equity markets of Latin America including Brazil, Mexico, Colombia, Peru and Chile. Conduct in-depth financial and risk analyses to identify stock trends and hedging strategies, establish pricing strategies, and develop instruments to protect against loss. Analyses will include: reviewing economic data releases and determining their effect on specific clients and Citi’s trading positions; analyzing U.S. and Latin American news and preparing reports of the same; and, preparing daily reports of profit and loss and risk exposure. Determine strategies for obtaining optimum pricing of equities issued by our Latin American institutional client base, both in the local Latin American markets in the form of ordinary shares, and in New York in the form of American Depository Receipts (ADRs). Advise clients in Latin America, U.S. and Europe regarding trading strategies relating to their Latin American equities investments including futures and options, hedging, and pricing of foreign stocks and large block trades. Trade Latin American equities and stocks, including ADRs, cash equities, total return swaps, participatory notes (P-Notes), futures options, foreign exchange, and standard “vanilla” options, based on strategies and client orders. Coordinate flow of trades in Latin America, communicating with Latin American offices and stock exchange officials as necessary. Advise Latin American and U.S. sales teams and traders regarding Latin American market conditions. Perform multiple daily calls with broad audiences in Latin America, the U.S. and Europe advising of morning news flow, midday performances and end-of-day summaries.

Qualifications
Requirements
Requires a Bachelor's degree in Finance, Economics, Business Administration,or a related area and 5 years of experience as a Latin America Equity Trader or related position supporting Latin America equity trading. Experience must include trading Latin American stocks, equities, swaps and foreign exchanges; exposure to the financial markets and local exchange rules of Brazil, Mexico, Colombia, Peru and Chile; and cultivating client relationships and advising clients in Latin America, the U.S. and Europe on trading strategies in the Latin American markets. Must have Series 7, 63, and 55 licenses. 

Submit resumes to Citigroup Recruiting Dept, 388 Greenwich Street, 18th Floor, New York, NY 10013 and reference job code ES/TE/KPD. Citigroup is EOE. This position is eligible for incentives pursuant to Citigroup’s Employee Referral Program."
819,"
Senior Financial Analyst, CPA is preferred
","


Kforce  

","Description  
Kforce is seeking a Senior Financial Analyst in Deerfield, Illinois (IL) for one of our premier clients. Kforce is a professional staffing and solutions firm providing flexible and permanent staffing solutions in the skill areas of technology, finance and accounting, and healthcare. We have been matching job seekers and employers since 1962 and are committed to ""Great People=Great Results."" Job Responsibilities: As a Senior Financial Analyst, you will be responsible for performing SAP account analysis to clear open managed accounts including running T-codes and performing research and resolution of defects or open items; areas including Goods in Transit and Goods Receipt Invoice Receipt. 

Specific Responsibilities 
-Provide accounting and financial support to the Export business units including preparing the balance account analysis and establishing accruals
-Provide month-end close support including preparing and reviewing the month-end journal entries
-Upload, reconcile and analyze the month-end close reporting (FiT and HFM)
-Assist in the development of designing end to end process (e.g. intercompany Export scenarios)
-Identify process improvements and support harmonization initiatives
-Complete ad-hoc projects and reporting as required

Requirements  
Job Requirements 
-The successful Senior Financial Analyst applicant will possess a Bachelor's degree in Accounting. A CPA is preferred. Additional Requirements: Minimum 6 years of experience in Accounting
-Possess critical thinking skills, quantitative and analytic problem solving skills
-Strong drive for results
-Strong people, communication, and adaptability skills
-Strong organizational and priority setting skills
-Accounting close experience
-Advanced Excel
-SAP Experience"
820,"
Technical Designer - Sweaters / Knits
","


Nordstrom

","Nordstrom is a fashion specialty retailer founded on a simple idea: offer customers the best possible service, quality, value and selection. We are looking for talented people to accurately interpret the designers' intent into quality sample garments.
 
Nordstrom Product Group is the innovative force behind our collection of private brands. At our Seattle Headquarters, teams specializing in design, production, technical design and merchandising create fashion that is unique to Nordstrom. Joining our team places you in a collaborative, creative and entrepreneurial environment that gives you the opportunity to share your vision and express your creativity.
 
The ideal technical designer is responsible for executing consistent production fit, grading, pattern and construction approvals and maintaining accurate measurement specifications.
 
Responsibilities 
Create and maintain consistent fit, construction, grade rules and tolerances
Create and maintain visual construction
Research and resolve fit, pattern and construction issues
Align and deliver to agreed calendar milestones
Drive block pattern development and approvals with Brand team and factory/agents as needed
Schedule and lead fit sessions
Communicate changes to achieve final fit and construction to meet brand requirement
Lead competitive fit/construction analysis and apply learning
Collaborate with Product Developers and external partners to ensure project outcomes align with priorities and direction
 
 
Qualifications 
Bachelor’s degree in Clothing & Textiles or equivalent work experience in related field
Minimum 5 years experience in apparel with emphasis hi-tech/hi-impact clothing fit and pattern making
Clear and effective written and verbal communication and strong interpersonal skills
Strong organization and time management skills
Ability to work independently as well as collaboratively
Ability to multi-task effectively
Proficiency in MS Office suite
Knowledge of FlexPLM and Adobe Illustrator preferre
Knowledge of pattern making software preferred
Ability and willingness to travel globally
Since 1901, Nordstrom has offered a wide variety of quality apparel, shoes and accessories for men, women and children at our stores across the country. We're proud to be named to Fortune™ magazine's list of '100 Best Companies to Work For.' We believe this recognition comes from our desire to empower our employees to set their sights high and deliver exceptional service to customers.
 
As a Nordstrom employee, you can feel confident that your health and well-being are among our highest priorities. We offer a comprehensive, flexible employee benefits package that includes medical/vision and dental coverage, a generous merchandise discount, an employer-matched 401(K) savings and profit sharing plan and much more.
 
We are an equal opportunity employer committed to providing a diverse environment.
 
The above information has been designed to indicate the general nature and level of work performed by employees within this classification. It is not designed to contain or be interpreted as a comprehensive inventory of all duties, responsibilities and qualifications required of employees assigned to this job. No visa sponsorship is available for this position."
821,"
Analyst
","


Platform Advisors

","CDM…always [thinking]…always [original]…always [creative]…never generic.

CDM has continued to experience tremendous growth and has no plans to slow down!
  
Be part of a team that thinks great work, fun and [creativity] are key ingredients to your success. 
  
See how our [core values]—substance, style, conviction, and grace – come to life and set us apart from other agencies. 
  
Work with the best and brightest in an exciting, [challenging], opportunity-filled, and [passionate] environment.  
  
Work with clients and brands that are top [leaders] in the healthcare industry.  
  
Come learn, [grow] and be challenged.  There’s no better place to experience the Joy of Science

Cline Davis & Mann LLC is one of the world’s largest global healthcare advertising agencies [and growing], with more than 1200 talented individuals located in offices across the United States and Europe.
  
Boutique pharmaceutical consulting firm looking for Analyst

Platform Advisors, the Management Consulting division of Cline Davis & Mann, is looking for an analyst to join our team. We work with our clients, major pharma-ceutical firms, to advise on early commercialization, clinical trial development , lifecycle planning and competitive intelligence.

Responsibilities include but are not limited to:
-Conduct secondary research, gather data and develop preliminary insights
-Conduct analyses and modeling with guidance from senior team members
-Build crisp, concise slides to communicate key findings
-Provide insights into broader work stream or project
-Support team in developing proposals and pitches through various market research phases and analyses

 Requirements:
The successful candidate will have
-an undergraduate degree in business from a highly ranked college or university
-completed several management consulting internships OR have one year of work experience in either consulting or investment banking. Pharma-ceutical focus highly preferred.
-Excellent oral and written communication skills as well as proficiency in Power Point
-Must be authorized to work in the US – we will not sponsor visas."
822,"
CAD Artist
","


Martha Stewart

","Primary Purpose	
Develop CAD and colorways of printed and woven textiles as directed by designers and Deputy Design Director. Create design repeats for production. Initiate additional branded colorings. Provide production support for textile design department throughout various stages of product development
Responsibilities	
Maintain a strong sense of Martha Stewart Living design aesthetic throughout the design of all merchandise. Stay aware of MSL editorial and TV content and ideas through appropriate channels. Use editorial inspiration to leverage into viable products where appropriate. 

Create colorways, and textile repeats using CAD. Initiate additional design suggestions specific to Window, Rug, and Home Textiles categories.  Initiates product specification packages.  

Work directly with manager on product objectives. Liaison with Soft Home designers for design direction. 

Create thematic concept boards, initiate and direct original design concepts according to merchandise plans and schedules including: rendering textile repeats and colorways, compiling references and providing samples, where applicable. 

Prepares line and presentation materials for Trend Concept Work Session and Concept Sample Line Reviews as needed.
Requirements	
Bachelors Degree in Textile Design 

At least 1-2 years experience working in PointCarre or related printed textile CAD software, along with experience in Photoshop and Illustrator 

Textile design for Home Furnishings experience essential 

Strong repeat and technical knowledge 

Excellent color sense and color matching skills 

Aesthetically keen eye for high end design 

Highly organized"
